5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,05:20,05:25,05:28,05:31,05:34,05:37
5507,普通,08:45,08:48,08:50,08:53,08:56,08:59,09:01,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・
3011,快速,08:48,08:51,08:53,08:56,08:59,↓,↓,↓,↓,09:11,↓,09:15,↓,↓,09:23,↓,↓,↓,↓,09:35
5507,普通,08:45,08:48,08:50,08:53,08:56,08:59,09:01,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・
3011,快速,08:48,08:51,08:53,08:56,08:59,↓,↓,↓,↓,09:11,↓,09:15,↓,↓,09:23,↓,↓,↓,↓,09:35
5245,普通,08:50,08:53,08:56,08:59,09:01,09:05,09:07,09:10,09:13,09:16,09:19,09:21,09:25,09:27,・・,・・,・・,・・,・・,・・
5247,普通,08:53,08:56,08:59,09:02,09:04,09:07,09:09,09:13,09:17,09:19,09:22,09:25,09:28,09:30,・・,・・,・・,・・,・・,・・
5249,普通,08:56,08:59,09:01,09:04,09:07,09:10,09:12,09:20,09:23,09:26,09:29,09:31,09:34,09:37,・・,・・,・・,・・,・・,・・
4017,区快,09:00,09:03,09:06,09:09,09:11,↓,↓,09:18,09:21,09:24,↓,09:28,09:31,↓,09:37,09:42,09:45,09:48,09:52,09:54
5251,普通,09:03,09:05,09:08,09:11,09:14,09:17,09:19,09:27,09:30,09:33,09:35,09:38,09:41,09:43,・・,・・,・・,・・,・・,・・
4207,区快,09:07,09:10,09:12,09:15,09:18,↓,↓,09:25,09:28,09:31,↓,09:34,09:38,↓,・・,・・,・・,・・,・・,・・
5253,普通,09:09,09:12,09:15,09:18,09:20,09:24,09:26,09:33,09:36,09:39,09:42,09:45,09:48,09:50,・・,・・,・・,・・,・・,・・
4019,区快,09:13,09:16,09:19,09:22,09:25,↓,↓,09:31,09:34,09:37,↓,09:41,09:44,↓,09:50,09:55,09:58,10:01,10:04,10:07
5255,普通,09:17,09:20,09:23,09:26,09:28,09:32,09:34,09:37,09:40,09:43,09:46,09:48,09:52,09:54,・・,・・,・・,・・,・・,・・
5019,普通,09:21,09:24,09:27,09:30,09:33,09:36,09:38,09:42,09:45,09:48,09:51,09:56,10:00,10:02,10:07,10:11,10:15,10:18,10:21,10:24
5257,普通,09:25,09:28,09:31,09:34,09:36,09:39,09:41,09:49,09:52,09:55,09:57,10:00,10:03,10:05,・・,・・,・・,・・,・・,・・
3013,快速,09:30,09:32,09:35,09:38,09:41,↓,↓,↓,↓,09:51,↓,09:55,↓,↓,10:03,↓,↓,↓,↓,10:15
5259,普通,09:33,09:35,09:38,09:41,09:44,09:47,09:49,09:53,09:56,09:59,10:02,10:04,10:08,10:10,・・,・・,・・,・・,・・,・・
5261,普通,09:38,09:41,09:44,09:47,09:49,09:52,09:54,10:02,10:05,10:08,10:11,10:13,10:17,10:19,・・,・・,・・,・・,・・,・・
4021,区快,09:43,09:45,09:48,09:51,09:54,↓,↓,10:00,10:03,10:06,↓,10:10,10:13,↓,10:19,10:24,10:27,10:30,10:34,10:36
5263,普通,09:47,09:50,09:52,09:55,09:58,10:01,10:03,10:07,10:10,10:13,10:16,10:18,10:21,10:24,・・,・・,・・,・・,・・,・・
5021,普通,09:52,09:55,09:57,10:00,10:03,10:06,10:08,10:12,10:15,10:18,10:21,10:26,10:30,10:32,10:37,10:41,10:45,10:48,10:51,10:54
3015,快速,10:00,10:02,10:05,10:08,10:11,↓,↓,↓,↓,10:21,↓,10:25,↓,↓,10:33,↓,↓,↓,↓,10:45
